TamanoMatriz;Procesos;Tiempo
1701;18;0.065639
1751;10;0.073511
1701;16;0.067695
1751;12;0.075713
1751;14;0.075057
1801;8;0.074526
1801;6;0.078122
1801;10;0.074798
1751;16;0.068472
1751;18;0.066521
1801;12;0.081822
1801;14;0.076292
1851;8;0.074864
1851;6;0.078622
1851;10;0.077042
4201;4;0.280435
1801;16;0.069723
1801;18;0.067417
1851;12;0.080136
1901;8;0.074869
1851;14;0.077189
1901;6;0.079882
1901;10;0.074157
1851;16;0.070721
1851;18;0.068311
1901;12;0.079865
1951;8;0.075428
1951;6;0.081086
1901;14;0.078485
1951;10;0.076275
4251;4;0.200218
1901;16;0.071644
1901;18;0.068998
1951;12;0.081160
2001;8;0.078178
2001;6;0.082606
1951;14;0.080298
2001;10;0.078987
1951;16;0.072992
1951;18;0.069681
2051;8;0.079155
2051;6;0.083031
2001;12;0.081773
2001;14;0.079713
2051;10;0.078585
2001;16;0.073383
2001;18;0.071010
2101;8;0.081265
2101;6;0.084611
2051;12;0.084269
2101;10;0.080762
2051;14;0.082285
2051;16;0.074508
2051;18;0.071830
2151;8;0.081175
2151;6;0.088788
2101;12;0.086519
2151;10;0.080775
2101;14;0.083461
4301;4;0.280487
2101;16;0.075909
2101;18;0.072858
2201;8;0.083181
2201;6;0.088770
2201;10;0.082463
2151;12;0.094143
2151;14;0.084531
2151;16;0.076698
2151;18;0.073639
2251;6;0.087248
2251;8;0.083476
2251;10;0.083433
2201;12;0.089326
2201;14;0.085861
2201;16;0.077812
2201;18;0.075009
2301;6;0.088524
2301;8;0.084175
2301;10;0.083512
2251;12;0.089270
2251;14;0.087267
4351;4;0.301226
2351;6;0.090226
2251;16;0.079743
2251;18;0.075775
2351;8;0.086068
2351;10;0.084521
2301;12;0.089621
2301;14;0.088160
2401;6;0.118161
2401;8;0.087793
2301;16;0.079823
2301;18;0.076554
2401;10;0.086002
2351;12;0.136645
2351;14;0.089792
2451;6;0.112032
2451;8;0.089942
2351;18;0.077498
2351;16;0.081054
2451;10;0.087587
2401;12;0.094370
2401;14;0.091828
2501;6;0.118661
4401;4;0.306941
2501;8;0.088851
2401;18;0.079210
2401;16;0.083048
2501;10;0.090179
2451;12;0.109395
2451;14;0.092207
2551;6;0.113142
2551;8;0.091299
2451;18;0.079504
2451;16;0.084544
2551;10;0.092692
2501;12;0.111936
2501;14;0.093769
2601;8;0.091740
2601;10;0.092153
2601;6;0.107761
2501;18;0.081118
2501;16;0.083998
4451;4;0.308891
2551;14;0.093848
