TamanoMatriz;Procesos;Tiempo
3900;16;0.069017
3900;18;0.062076
4100;14;0.079641
10300;10;0.295869
3900;20;0.061525
10300;12;0.282425
4100;16;0.071528
4100;18;0.065554
4300;14;0.084585
4100;20;0.063963
4300;16;0.098567
4300;18;0.067349
4500;14;0.085113
4300;20;0.069162
4500;16;0.082124
4500;18;0.071456
4700;14;0.089734
4500;20;0.070422
4700;16;0.101361
4700;18;0.074643
4900;14;0.091391
4700;20;0.075639
10500;10;0.294098
4900;18;0.079591
4900;16;0.118612
10500;12;0.291108
5100;14;0.095536
4900;20;0.077800
5100;16;0.131861
5100;18;0.083121
5300;14;0.099737
5100;20;0.083784
5300;16;0.099255
5300;18;0.089780
5500;14;0.102610
5300;20;0.087481
5500;16;0.141404
5500;18;0.094411
10700;10;0.305732
5700;14;0.109271
5500;20;0.092005
10700;12;0.302575
5700;16;0.152361
5700;18;0.099119
5900;14;0.110636
5700;20;0.097609
5900;18;0.102929
5900;16;0.140934
6100;14;0.113713
5900;20;0.101964
6100;18;0.109104
6100;16;0.124220
10900;10;0.313417
6300;14;0.124948
6100;20;0.106415
10900;12;0.311281
6300;16;0.127832
6300;18;0.114856
6500;14;0.127536
6300;20;0.112201
6500;16;0.136168
6500;18;0.121328
6700;14;0.130764
6500;20;0.119690
11100;10;0.324189
6700;16;0.174103
6700;18;0.125147
11100;12;0.320973
6900;14;0.141177
6700;20;0.125861
6900;18;0.131994
6900;16;0.156157
7100;14;0.146783
6900;20;0.131178
7100;16;0.195192
7100;18;0.140633
11300;10;0.337729
7300;14;0.153448
7100;20;0.137777
11300;12;0.332810
7300;18;0.147221
7300;16;0.169953
7500;14;0.159876
7300;20;0.143590
7500;18;0.153369
7500;16;0.215390
7700;14;0.173349
11500;10;0.348882
7500;20;0.152354
11500;12;0.344190
7700;16;0.175687
7700;18;0.161433
7900;14;0.176031
7700;20;0.157784
7900;18;0.167825
7900;16;0.183948
8100;14;0.180738
11700;10;0.378139
7900;20;0.164319
11700;12;0.355392
8100;18;0.173994
8100;16;0.268892
8300;14;0.187964
8100;20;0.172397
8300;16;0.198776
8300;18;0.183155
