TamanoMatriz;Procesos;Tiempo
15500;28;1.544432
16500;18;1.746754
16500;20;1.751384
15700;26;1.660626
16900;14;1.854353
17100;8;1.945406
15300;32;1.527250
15500;34;1.561005
16500;22;1.743592
15900;24;1.623460
15300;30;1.543825
16900;16;1.841911
17300;2;2.762199
13500;40;1.742748
17100;10;1.918261
14100;38;1.350243
13900;36;1.254460
17300;4;2.176667
17100;12;1.869362
15700;28;1.581277
17300;6;2.067700
16700;18;1.793264
15900;26;1.707236
16700;20;1.792047
17100;14;1.897853
17300;8;1.989516
13900;42;1.376274
15500;32;1.563289
16100;24;1.668802
15700;34;1.601927
15500;30;1.558929
16700;22;1.780711
17100;16;1.887798
17500;2;2.836376
17300;10;1.957891
17500;4;2.234424
17300;12;1.946839
15900;28;1.623262
13700;40;1.650409
17500;6;2.112244
14300;38;1.369886
14100;36;1.290611
16900;18;1.830862
16100;26;1.714800
16900;20;1.830704
17500;8;2.038933
17300;14;1.944951
16300;24;1.707198
15700;32;1.625526
15900;34;1.666999
15700;30;1.595708
16900;22;1.821846
17700;2;2.901784
17300;16;1.931781
14100;42;1.399465
17500;10;2.005150
17700;4;2.288603
17500;12;1.989937
16100;28;1.661901
17700;6;2.163277
17100;18;1.882198
16300;26;1.791542
17100;20;1.882693
16500;24;1.747036
17700;8;2.082327
16100;34;1.680435
17500;14;1.998807
15900;32;1.662193
13900;40;1.698903
15900;30;1.637011
14500;38;1.412212
14300;36;1.323698
17100;22;1.869127
17900;2;2.963849
17500;16;1.975756
17700;10;2.051447
17900;4;2.333566
16300;28;1.704015
17700;12;2.033065
14300;42;1.427383
17900;6;2.210879
17300;18;1.918344
16500;26;1.828069
16700;24;1.806718
17300;20;1.924370
17900;8;2.134975
16300;34;1.720288
16100;32;1.696829
17700;14;2.035072
16100;30;1.664769
17300;22;1.915997
18100;2;3.013552
17700;16;2.017253
17900;10;2.092898
14700;38;1.511469
14100;40;1.832175
14500;36;1.363330
18100;4;2.379106
16500;28;1.737777
17900;12;2.078818
18100;6;2.254446
17500;18;1.961782
16700;26;1.871968
16900;24;1.827799
14500;42;1.469009
16500;34;1.760643
17500;20;1.962213
18100;8;2.180385
16300;32;1.762146
16300;30;1.730155
17900;14;2.074828
17500;22;1.954305
18300;2;3.084920
18100;10;2.131002
17900;16;2.064932
16700;28;1.784522
18300;4;2.431751
18100;12;2.128497
14900;38;1.494894
18300;6;2.305565
14700;36;1.404203
14300;40;1.788248
17700;18;2.007399
17100;24;1.905844
16900;26;1.913948
16700;34;1.802220
17700;20;2.007839
18300;8;2.223707
18100;14;2.127408
16500;32;1.798839
